ID_Tiempo,Año,Trimestre,Mes,Día,Fecha
1,2022,1,1,1,01/01/2022
2,2022,1,1,2,02/01/2022
3,2022,1,1,3,03/01/2022
4,2022,1,1,4,04/01/2022
5,2022,1,1,5,05/01/2022
6,2022,1,1,6,06/01/2022
7,2022,1,1,7,07/01/2022
8,2022,1,1,8,08/01/2022
9,2022,1,1,9,09/01/2022
10,2022,1,1,10,10/01/2022
11,2022,1,1,11,11/01/2022
12,2022,1,1,12,12/01/2022
13,2022,1,1,13,13/01/2022
14,2022,1,1,14,14/01/2022
15,2022,1,1,15,15/01/2022
16,2022,1,1,16,16/01/2022
17,2022,1,1,17,17/01/2022
18,2022,1,1,18,18/01/2022
19,2022,1,1,19,19/01/2022
20,2022,1,1,20,20/01/2022
21,2022,1,1,21,21/01/2022
22,2022,1,1,22,22/01/2022
23,2022,1,1,23,23/01/2022
24,2022,1,1,24,24/01/2022
25,2022,1,1,25,25/01/2022
26,2022,1,1,26,26/01/2022
27,2022,1,1,27,27/01/2022
28,2022,1,1,28,28/01/2022
29,2022,1,1,29,29/01/2022
30,2022,1,1,30,30/01/2022
31,2022,1,1,31,31/01/2022
32,2022,1,2,1,01/02/2022
33,2022,1,2,2,02/02/2022
34,2022,1,2,3,03/02/2022
35,2022,1,2,4,04/02/2022
36,2022,1,2,5,05/02/2022
37,2022,1,2,6,06/02/2022
38,2022,1,2,7,07/02/2022
39,2022,1,2,8,08/02/2022
40,2022,1,2,9,09/02/2022
41,2022,1,2,10,10/02/2022
42,2022,1,2,11,11/02/2022
43,2022,1,2,12,12/02/2022
44,2022,1,2,13,13/02/2022
45,2022,1,2,14,14/02/2022
46,2022,1,2,15,15/02/2022
47,2022,1,2,16,16/02/2022
48,2022,1,2,17,17/02/2022
49,2022,1,2,18,18/02/2022
50,2022,1,2,19,19/02/2022
51,2022,1,2,20,20/02/2022
52,2022,1,2,21,21/02/2022
53,2022,1,2,22,22/02/2022
54,2022,1,2,23,23/02/2022
